Name,Sites,Headquarters,Website
U-Pak-It Convenience Stores,40,LA,
Edwards Oil Co.,39,TN,https://quikmart.com
Lee Oil Co.,39,KY,https://leesfoodmart.com
Pops Mart,39,NC,https://popsmartfuels.com
Bonfare Markets,38,CA,https://bonfaremarkets.com
McClure Oil Corp.,38,IN,https://mcclureoilcorp.com
WSCO Petroleum,38,OR,https://wscopetroleum.com
Wesco Oil Co.,38,VT,https://champlainfarms.com
Brewer Oil Co.,37,NM,https://breweroil.com
Cubby's Inc.,37,NE,https://cubbys.com
First Coast Energy (Daily's),37,FL,https://dailys.com
Graham Enterprise,37,IL,https://grahamei.com
Lewis & Raulerson Inc.,37,GA,https://friendlyexpress.com
SpartanNash Co. Convenience Division,37,MI,https://spartannash.com
United Supermarkets,37,TX,https://unitedsupermarkets.com
Lassus Bros. Oil,36,IN,https://lassus.com
Robinson Oil Corp.,36,CA,https://rottenrobbie.com
Golden Pantry Food Stores,35,GA,https://goldenpantry.com
Onvo,35,PA,https://onvo.com
Greeneville Oil & Petroleum,34,NC,https://greenevilleoil.com
La Lomita Inc.,34,TX,https://eltigretexbest.com
Bazco Oil/Chillbox,33,MI,https://chillboxstores.com
Spades Co.,33,TX,https://spadescompany.com
Delta Sonic,32,NY,https://deltasoniccarwash.com
Haag Oil Co.,32,KS,https://haagoilcompany.com
Heritage's Dairy Stores,32,NJ,https://heritages.com
Rapid Robert's Inc.,32,MS,https://rapidrobertsinc.com
Tommy's/U Pump It,32,TX,https://upitommys.com
BHT Investments,31,AR,https://doublebees.com
Condon Cos.,31,WI,https://ultimartstores.com
Mega Consumers Cooperative,31,WI,https://megacoop.com
Mega Consumers Cooperative,31,WI,https://megacoop.com
Petro Serve USA,31,ND,https://petroserveusa.com
Gulshan Enterprises,30,TX,
PAJCO Inc.,30,MO,https://rhodes101.com
